,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,HzReUs8NWZN15ntyHfH-mA,hula-bar-and-kitchen-san-jose,Hula Bar and Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/R8nyl0dtOWu3m_yNxpx50w/o.jpg,False,https://www.yelp.com/biz/hula-bar-and-kitchen-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,37,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'filipino', 'title': 'Filipino'}]",5.0,"{'latitude': 37.336321680671986, 'longitude': -121.88994384395808}",[],$$,"{'address1': '30 E Santa Clara St', 'address2': 'Ste 110', 'address3': None, 'city': 'San Jose', 'zip_code': '95113', 'country': 'US', 'state': 'CA', 'display_address': ['30 E Santa Clara St', 'Ste 110', 'San Jose, CA 95113']}",+14082169648,(408) 216-9648,2237.888248176694
1,i50BEr4Pq6-D8tmsegmVyA,the-table-san-jose,The Table,https://s3-media2.fl.yelpcdn.com/bphoto/KMiVsvM886v1DpX7Ic9oxg/o.jpg,False,https://www.yelp.com/biz/the-table-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,3442,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"{'latitude': 37.308203, 'longitude': -121.901284}",['delivery'],$$,"{'address1': '1110 Willow St', 'address2': '', 'address3': '', 'city': 'San Jose', 'zip_code': '95125', 'country': 'US', 'state': 'CA', 'display_address': ['1110 Willow St', 'San Jose, CA 95125']}",+14086387911,(408) 638-7911,1712.3326119685419
2,kOY-1i0jaW6Bb8as34sqwQ,the-grandview-restaurant-san-jose,The Grandview Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/gsy_3gmpd7f_Y-Rey8RAbw/o.jpg,False,https://www.yelp.com/biz/the-grandview-restaurant-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,1844,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 37.3648315, 'longitude': -121.7640765}","['restaurant_reservation', 'pickup']",$$$$,"{'address1': '15005 Mount Hamilton Rd', 'address2': '', 'address3': '', 'city': 'San Jose', 'zip_code': '95140', 'country': 'US', 'state': 'CA', 'display_address': ['15005 Mount Hamilton Rd', 'San Jose, CA 95140']}",+14082518909,(408) 251-8909,11963.984768977882
3,UPjhJoqpbJr0u8mvTOxneQ,sj-omogari-san-jose-3,SJ Omogari,https://s3-media3.fl.yelpcdn.com/bphoto/Q-R5F0ZyM0STS_r03pI_WQ/o.jpg,False,https://www.yelp.com/biz/sj-omogari-san-jose-3?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,2392,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 37.348433, 'longitude': -121.895124}","['pickup', 'delivery']",$$,"{'address1': '154 Jackson St', 'address2': '', 'address3': '', 'city': 'San Jose', 'zip_code': '95112', 'country': 'US', 'state': 'CA', 'display_address': ['154 Jackson St', 'San Jose, CA 95112']}",+14082888134,(408) 288-8134,3652.6961387694555
4,dg0VIwcmXZi7svarPC7VWA,mama-kin-san-jose-2,Mama Kin,https://s3-media2.fl.yelpcdn.com/bphoto/rbKItR6gKQqGG67xVtNy4w/o.jpg,False,https://www.yelp.com/biz/mama-kin-san-jose-2?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,62,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",4.5,"{'latitude': 37.330622, 'longitude': -121.886036}",[],$$,"{'address1': '374 S First St', 'address2': '', 'address3': None, 'city': 'San Jose', 'zip_code': '95113', 'country': 'US', 'state': 'CA', 'display_address': ['374 S First St', 'San Jose, CA 95113']}",+14086649303,(408) 664-9303,1563.2246594064586
5,wGBYKBR610I3K1_h4pHUrQ,firehouse-no-1-gastropub-san-jose,Firehouse No.1 Gastropub,https://s3-media1.fl.yelpcdn.com/bphoto/DZuE_RmnZ75_7RhNX2UCiA/o.jpg,False,https://www.yelp.com/biz/firehouse-no-1-gastropub-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,1703,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"{'latitude': 37.3363226652145, 'longitude': -121.893842965364}",['delivery'],$$,"{'address1': '69 N San Pedro St', 'address2': '', 'address3': '', 'city': 'San Jose', 'zip_code': '95110', 'country': 'US', 'state': 'CA', 'display_address': ['69 N San Pedro St', 'San Jose, CA 95110']}",+14082876969,(408) 287-6969,2329.5347770823396
6,hFf1M3QLSp7gOsSX5btixw,serious-dumpling-正经生煎-san-jose,Serious Dumpling 正经生煎,https://s3-media2.fl.yelpcdn.com/bphoto/1tNYt0LownSmbwdKZz-Ajg/o.jpg,False,https://www.yelp.com/biz/serious-dumpling-%E6%AD%A3%E7%BB%8F%E7%94%9F%E7%85%8E-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,419,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 37.3359871, 'longitude': -121.8935321}","['pickup', 'delivery']",$$,"{'address1': '49 North San Pedro St', 'address2': None, 'address3': None, 'city': 'San Jose', 'zip_code': '95110', 'country': 'US', 'state': 'CA', 'display_address': ['49 North San Pedro St', 'San Jose, CA 95110']}",+14083202023,(408) 320-2023,2285.2195845252527
7,dnHSLaWVWnSsOqt5ZaDpsg,añejo-cantina-and-kitchen-san-jose,Añejo Cantina & Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/P3mrJuoaWtwtU6IgyblKAA/o.jpg,False,https://www.yelp.com/biz/a%C3%B1ejo-cantina-and-kitchen-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,150,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 37.30798313369885, 'longitude': -121.95099551901517}","['restaurant_reservation', 'pickup', 'delivery']",$$,"{'address1': '3132 Williams Rd', 'address2': None, 'address3': '', 'city': 'San Jose', 'zip_code': '95117', 'country': 'US', 'state': 'CA', 'display_address': ['3132 Williams Rd', 'San Jose, CA 95117']}",+14082613714,(408) 261-3714,5911.124797630216
8,ZYGMLW_biN_XMwdUo_90Jg,élyse-restaurant-san-jose-2,Élyse Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/8YCpbadULrjLZxfvP6Qc5w/o.jpg,False,https://www.yelp.com/biz/%C3%A9lyse-restaurant-san-jose-2?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,454,"[{'alias': 'french', 'title': 'French'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 37.33363008882472, 'longitude': -121.88744268480657}","['restaurant_reservation', 'delivery']",$$,"{'address1': '151 S 2nd St', 'address2': '', 'address3': None, 'city': 'San Jose', 'zip_code': '95113', 'country': 'US', 'state': 'CA', 'display_address': ['151 S 2nd St', 'San Jose, CA 95113']}",+14088992762,(408) 899-2762,1908.0212224768961
9,OnI_CI4-y9rck-9Sy8p5vQ,the-littlest-little-italy-san-jose,The Littlest Little Italy,https://s3-media1.fl.yelpcdn.com/bphoto/EVJnybV8VjqDELXaVu3PAA/o.jpg,False,https://www.yelp.com/biz/the-littlest-little-italy-san-jose?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,3,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 37.335203931559846, 'longitude': -121.89793267561099}",[],,"{'address1': '320 W Saint John St', 'address2': '', 'address3': None, 'city': 'San Jose', 'zip_code': '95110', 'country': 'US', 'state': 'CA', 'display_address': ['320 W Saint John St', 'San Jose, CA 95110']}",,,2364.313795593419
