,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,s2R3RUJ09eBFvHVIUS4Shg,kothai-republic-san-francisco,Kothai Republic,https://s3-media3.fl.yelpcdn.com/bphoto/eWlrib7jCNgKuNl59ImgAw/o.jpg,False,https://www.yelp.com/biz/kothai-republic-san-francisco?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,110,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 37.76219, 'longitude': -122.46604}",[],"{'address1': '1398 9th Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1398 9th Ave', 'San Francisco, CA 94122']}",+14157424058,(415) 742-4058,2606.5969287543485,
1,AtFGQccBpgEZzsy9V1330Q,lily-san-francisco,Lily,https://s3-media3.fl.yelpcdn.com/bphoto/y80_nZ_LfLw5AZip8L-MEg/o.jpg,False,https://www.yelp.com/biz/lily-san-francisco?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,356,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"{'latitude': 37.782826, 'longitude': -122.461686}","['pickup', 'delivery']","{'address1': '225 Clement St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['225 Clement St', 'San Francisco, CA 94118']}",+14157425285,(415) 742-5285,3299.107317666393,
2,4jqo3BvBEiNrvLKJW41Qbg,the-public-izakaya-san-francisco,The Public Izakaya,https://s3-media2.fl.yelpcdn.com/bphoto/5wSMYm8s6Z_OSXI5rRxWIQ/o.jpg,False,https://www.yelp.com/biz/the-public-izakaya-san-francisco?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,222,"[{'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 37.787836462530876, 'longitude': -122.413599}",[],"{'address1': '700 Post St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['700 Post St', 'San Francisco, CA 94109']}",+14156587588,(415) 658-7588,3606.1481462817164,$$
3,HHtpR0RslupSQ99GIIwW5A,marufuku-ramen-san-francisco-5,Marufuku Ramen,https://s3-media4.fl.yelpcdn.com/bphoto/ouK2VmW0SrI70jsJpTxJhw/o.jpg,False,https://www.yelp.com/biz/marufuku-ramen-san-francisco-5?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,4515,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 37.785014, 'longitude': -122.431842}","['pickup', 'delivery']","{'address1': '1581 Webster St', 'address2': 'Ste 235', 'address3': None, 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1581 Webster St', 'Ste 235', 'San Francisco, CA 94115']}",+14158729786,(415) 872-9786,2717.1759329403035,$$
4,J7_-faNq_Ag9qTOlDn81Pw,starbelly-san-francisco,Starbelly,https://s3-media2.fl.yelpcdn.com/bphoto/G1SweY3VbKx_BqAws9RytA/o.jpg,False,https://www.yelp.com/biz/starbelly-san-francisco?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,2191,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 37.7640754, 'longitude': -122.4325722}","['pickup', 'restaurant_reservation', 'delivery']","{'address1': '3583 16th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['3583 16th St', 'San Francisco, CA 94114']}",+14152527500,(415) 252-7500,490.6604438082213,$$
5,6YuJE0vjUpIzYckRMnzy0g,savor-san-francisco-7,Savor,https://s3-media1.fl.yelpcdn.com/bphoto/bskdpiM9uOzPvJ5-v7HNRQ/o.jpg,False,https://www.yelp.com/biz/savor-san-francisco-7?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,121,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.5,"{'latitude': 37.76411439958351, 'longitude': -122.46223150576381}","['pickup', 'restaurant_reservation', 'delivery']","{'address1': '401 Irving St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['401 Irving St', 'San Francisco, CA 94122']}",+14157026048,(415) 702-6048,2294.6117406979715,$$
6,_hOVIgjVRl_HzvLaa65KJg,the-snug-san-francisco,The Snug,https://s3-media3.fl.yelpcdn.com/bphoto/MutHRQoBt5krVldjIK88IA/o.jpg,False,https://www.yelp.com/biz/the-snug-san-francisco?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,384,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 37.79094, 'longitude': -122.43443}",['delivery'],"{'address1': '2301 Fillmore St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['2301 Fillmore St', 'San Francisco, CA 94115']}",,,3342.887795851584,$$
7,8VurRDEj1RpimenhgTmyFQ,kaiyō-rooftop-san-francisco-5,KAIYŌ Rooftop,https://s3-media4.fl.yelpcdn.com/bphoto/IpnkGDpsm94wGzTAdFekPg/o.jpg,False,https://www.yelp.com/biz/kaiy%C5%8D-rooftop-san-francisco-5?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,511,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 37.77882, 'longitude': -122.3924}",[],"{'address1': '701 3rd St', 'address2': 'Fl 12', 'address3': '', 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['701 3rd St', 'Fl 12', 'San Francisco, CA 94105']}",+14158008141,(415) 800-8141,4355.096615628698,
8,QueFVMcMlT-6aZFv2M47mg,bottega-san-francisco-2,Bottega,https://s3-media2.fl.yelpcdn.com/bphoto/IawDcF1QmHSzUQDczHYVuw/o.jpg,False,https://www.yelp.com/biz/bottega-san-francisco-2?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,681,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 37.75472, 'longitude': -122.4212}","['delivery', 'pickup']","{'address1': '1132 Valencia St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['1132 Valencia St', 'San Francisco, CA 94110']}",+14156559048,(415) 655-9048,1506.2503434999724,$$
9,d5752S_RDb26HxoL6O06eQ,beit-rima-san-francisco-4,Beit Rima,https://s3-media2.fl.yelpcdn.com/bphoto/M_-YjU1xtWfYP_oLsznIBw/o.jpg,False,https://www.yelp.com/biz/beit-rima-san-francisco-4?adjust_creative=bpQq5NcAeZPqAmDOGLjWgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bpQq5NcAeZPqAmDOGLjWgA,238,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",4.5,"{'latitude': 37.765956, 'longitude': -122.449679}",[],"{'address1': '86 Carl St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['86 Carl St', 'San Francisco, CA 94117']}",+14155661274,(415) 566-1274,1291.888183200842,$$
